                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     65,                0.83148,                  4.001,                 1.5872,                0.02834,                0.82571,                0.05165,                 0.0481,                0.52638,                 21.843,                 1.3244,             1.7221e-05,             1.7221e-05,             1.7221e-05
                     66,                 0.7983,                  3.967,                 1.5602,                0.00822,                0.97113,                0.05028,                0.04642,                0.52699,                 19.509,                 1.3213,             1.6755e-05,             1.6755e-05,             1.6755e-05
                     67,                0.81014,                  3.964,                 1.5661,                0.05219,                0.61148,                0.04611,                0.04264,                 0.5431,                 13.611,                 1.3376,              1.629e-05,              1.629e-05,              1.629e-05
                     68,                 0.8262,                 3.9684,                 1.5595,                0.00832,                0.96521,                0.05098,                0.04713,                0.54045,                 19.117,                 1.3318,             1.5825e-05,             1.5825e-05,             1.5825e-05
                     69,                 0.8028,                  3.965,                 1.5606,                  0.052,                0.64674,                0.04991,                0.04648,                0.53088,                 17.252,                 1.3225,              1.536e-05,              1.536e-05,              1.536e-05
                     70,                0.80039,                 3.9494,                   1.56,                0.05155,                 0.6174,                0.05046,                0.04669,                0.54774,                 15.532,                  1.341,             1.4894e-05,             1.4894e-05,             1.4894e-05
                     71,                0.79466,                 3.9399,                 1.5473,                 0.0091,                0.95838,                0.04826,                0.04545,                0.50469,                 12.398,                 1.2952,             1.4429e-05,             1.4429e-05,             1.4429e-05
                     72,                0.79614,                 3.9253,                 1.5443,                0.02823,                 0.7674,                0.04956,                0.04666,                0.52598,                 15.458,                 1.3207,             1.3964e-05,             1.3964e-05,             1.3964e-05
                     73,                 0.7873,                 3.9477,                 1.5331,                0.04087,                0.66089,                0.05223,                0.04848,                0.52645,                 12.566,                 1.3111,             1.3498e-05,             1.3498e-05,             1.3498e-05
                     74,                0.78503,                 3.9275,                 1.5323,                0.05824,                0.61352,                0.05381,                0.05046,                0.51435,                  13.31,                 1.3054,             1.3033e-05,             1.3033e-05,             1.3033e-05
                     75,                0.78675,                 3.9184,                 1.5465,                0.02818,                0.76795,                0.05585,                0.05323,                0.49613,                 12.559,                  1.282,             1.2568e-05,             1.2568e-05,             1.2568e-05
                     76,                0.79255,                 3.9125,                 1.5364,                0.00945,                0.96457,                0.05669,                0.05294,                0.50486,                 12.678,                 1.2899,             1.2102e-05,             1.2102e-05,             1.2102e-05
                     77,                0.79598,                 3.9218,                 1.5422,                0.04637,                0.64459,                0.05505,                0.05224,                0.50594,                 16.792,                 1.2905,             1.1637e-05,             1.1637e-05,             1.1637e-05
                     78,                0.78898,                 3.9031,                 1.5364,                 0.0615,                0.60409,                0.05866,                0.05562,                0.51163,                 12.259,                 1.2908,             1.1172e-05,             1.1172e-05,             1.1172e-05
                     79,                0.78671,                 3.9206,                 1.5369,                0.00951,                0.96566,                0.05473,                0.05134,                 0.5328,                 11.515,                 1.3144,             1.0707e-05,             1.0707e-05,             1.0707e-05
                     80,                0.77573,                 3.8966,                 1.5274,                0.05732,                0.58826,                0.05607,                0.05323,                0.51186,                 11.246,                  1.288,             1.0241e-05,             1.0241e-05,             1.0241e-05
                     81,                0.80111,                   3.93,                 1.5439,                0.06253,                0.59108,                0.05054,                0.04748,                0.51754,                 14.661,                 1.2922,              9.776e-06,              9.776e-06,              9.776e-06
                     82,                0.76472,                 3.8925,                 1.5138,                0.08119,                0.53755,                0.05212,                0.04904,                0.52171,                 13.216,                  1.301,             9.3107e-06,             9.3107e-06,             9.3107e-06
                     83,                 0.7805,                  3.915,                 1.5243,                 0.0838,                0.53361,                0.05535,                0.05226,                0.50561,                 12.592,                  1.284,             8.8454e-06,             8.8454e-06,             8.8454e-06
                     84,                0.76105,                 3.8884,                 1.5011,                0.02179,                0.92351,                0.05576,                  0.053,                0.50697,                 13.124,                   1.28,             8.3801e-06,             8.3801e-06,             8.3801e-06
                     85,                0.77285,                 3.9066,                 1.5124,                0.03478,                0.67106,                0.05431,                0.05107,                 0.5219,                 12.034,                 1.2989,             7.9148e-06,             7.9148e-06,             7.9148e-06
                     86,                0.79253,                 3.8886,                 1.5414,                0.08901,                0.54163,                0.05645,                0.05376,                0.50555,                 12.077,                 1.2795,             7.4495e-06,             7.4495e-06,             7.4495e-06
                     87,                0.77643,                 3.8917,                 1.5254,                0.06779,                 0.5742,                0.05568,                 0.0526,                0.50913,                 10.593,                 1.2835,             6.9842e-06,             6.9842e-06,             6.9842e-06
                     88,                0.76083,                 3.8763,                 1.5069,                0.08545,                0.53461,                 0.0542,                0.05127,                0.50661,                 11.381,                 1.2867,             6.5189e-06,             6.5189e-06,             6.5189e-06
                     89,                0.77578,                 3.8923,                 1.5164,                0.02903,                0.73974,                0.05595,                0.05268,                0.51055,                 11.322,                 1.2844,             6.0536e-06,             6.0536e-06,             6.0536e-06
                     90,                0.77356,                 3.8835,                 1.5235,                0.07933,                0.55326,                0.05542,                0.05235,                0.50428,                 11.244,                 1.2746,             5.5883e-06,             5.5883e-06,             5.5883e-06
                     91,                0.38367,                 3.8862,                 1.2156,                0.01014,                 0.9245,                0.04764,                0.04402,                0.57471,                 5.9197,                 1.3708,              5.123e-06,              5.123e-06,              5.123e-06
                     92,                0.35161,                 3.8181,                 1.1761,                0.01027,                0.92923,                0.04703,                0.04336,                0.58073,                 6.6983,                 1.3518,             4.6577e-06,             4.6577e-06,             4.6577e-06
                     93,                0.34423,                 3.8055,                 1.1711,                0.01043,                0.92541,                0.04592,                0.04215,                0.57515,                 6.6532,                 1.3478,             4.1924e-06,             4.1924e-06,             4.1924e-06
                     94,                0.33162,                 3.7882,                 1.1508,                0.01061,                0.90765,                0.04514,                0.04124,                 0.5783,                  6.187,                 1.3531,             3.7271e-06,             3.7271e-06,             3.7271e-06
                     95,                0.33228,                 3.7804,                 1.1513,                0.01066,                 0.9163,                 0.0455,                0.04175,                0.56179,                 6.3851,                 1.3302,             3.2618e-06,             3.2618e-06,             3.2618e-06
                     96,                0.32915,                 3.7701,                 1.1492,                0.01052,                0.90993,                0.04528,                0.04157,                 0.5522,                 6.5109,                 1.3226,             2.7965e-06,             2.7965e-06,             2.7965e-06
                     97,                0.32113,                 3.7603,                 1.1333,                0.01081,                0.89672,                0.04504,                0.04118,                0.58112,                 5.7999,                 1.3619,             2.3312e-06,             2.3312e-06,             2.3312e-06
                     98,                0.31268,                 3.7528,                 1.1323,                0.01076,                0.91266,                0.04619,                0.04221,                0.58387,                 6.4787,                 1.3537,             1.8659e-06,             1.8659e-06,             1.8659e-06
                     99,                0.31669,                 3.7527,                 1.1385,                0.04088,                0.57996,                0.04562,                0.04202,                0.54038,                 6.2131,                  1.303,             1.4006e-06,             1.4006e-06,             1.4006e-06
                    100,                 0.3204,                 3.7481,                 1.1362,                0.02891,                0.62237,                0.04562,                0.04171,                0.57688,                 7.0941,                 1.3381,              9.353e-07,              9.353e-07,              9.353e-07
